facid,facname,fac_type_code,city,county_name,capacity,latitude,longitude,zip,license_status_description
10000001,VINEYARD POST ACUTE,SNF,PETALUMA,SONOMA,99,38.256552,-122.628024,94954,ACTIVE
10000003,CREEKSIDE REHABILITATION & BEHAVIORAL HEALTH,SNF,SANTA ROSA,SONOMA,181,38.438712,-122.7059775,95404,ACTIVE
10000004,CRESCENT CITY SKILLED NURSING,SNF,CRESCENT CITY,DEL NORTE,99,41.768559,-124.200918,95531,ACTIVE
10000005,RIDGEWAY POST ACUTE,SNF,PETALUMA,SONOMA,79,38.22156,-122.646834,94952,ACTIVE
10000024,"GRANADA REHAB & WELLNESS CENTER, LP",SNF,EUREKA,HUMBOLDT,87,40.781097,-124.13547,95503,ACTIVE
10000026,APPLE VALLEY POST-ACUTE REHAB,SNF,SEBASTOPOL,SONOMA,95,38.38950729,-122.8154125,95472,ACTIVE
10000028,NORTH BAY POST ACUTE,SNF,PETALUMA,SONOMA,98,38.228193,-122.6447955,94952,ACTIVE
10000033,SANTA ROSA POST ACUTE,SNF,SANTA ROSA,SONOMA,99,38.44098,-122.665284,95405,ACTIVE
10000034,SONOMA POST ACUTE,SNF,SONOMA,SONOMA,83,38.289087,-122.4610785,95476,ACTIVE
10000037,CLOVERDALE HEALTHCARE CENTER,SNF,CLOVERDALE,SONOMA,72,38.796426,-123.024672,95425,ACTIVE
10000043,PARK VIEW POST ACUTE,SNF,SANTA ROSA,SONOMA,116,38.4534,-122.6759985,95405,ACTIVE
10000047,NORTHBROOK HEALTHCARE CENTER,SNF,WILLITS,MENDOCINO,70,39.415752,-123.360948,95490,ACTIVE
10000052,PETALUMA POST-ACUTE REHAB,SNF,PETALUMA,SONOMA,90,38.222226,-122.645277,94952,ACTIVE
10000059,NORTHVINE POSTACUTE CARE,SNF,SANTA ROSA,SONOMA,62,38.421189,-122.7186585,95407,ACTIVE
10000060,"SEAVIEW REHABILITATION & WELLNESS CENTER, LP",SNF,EUREKA,HUMBOLDT,99,40.730886,-124.20468,95503,ACTIVE
10000062,"SHERWOOD OAKS POST ACUTE CARE, LLC",SNF,FORT BRAGG,MENDOCINO,79,39.441168,-123.7879215,95437,ACTIVE
10000066,BROADWAY VILLA POST ACUTE,SNF,SONOMA,SONOMA,144,38.27826,-122.458419,95476,ACTIVE
10000075,"FORTUNA REHABILITATION & WELLNESS CENTER, LP",SNF,FORTUNA,HUMBOLDT,104,40.58978733,-124.1416839,95540,ACTIVE
10000076,SUMMERFIELD HEALTHCARE CENTER,SNF,SANTA ROSA,SONOMA,70,38.445543,-122.6640195,95405,ACTIVE
10000078,"EUREKA REHABILITATION & WELLNESS CENTER, LP",SNF,EUREKA,HUMBOLDT,99,40.78694148,-124.1421371,95501,ACTIVE
10000079,HILLCREST POST ACUTE,SNF,PETALUMA,SONOMA,59,38.22237,-122.6478825,94952,ACTIVE
10000080,UKIAH POST ACUTE,SNF,UKIAH,MENDOCINO,54,39.130182,-123.2081595,95482,ACTIVE
10000082,REDWOOD COVE HEALTHCARE CENTER,SNF,UKIAH,MENDOCINO,68,39.13524,-123.2101485,95482,ACTIVE
10000086,BAYBERRY HOUSE,ICFDDH,NAPA,NAPA,6,38.295873,-122.271102,94559,ACTIVE
10000087,BUTLER VALLEY,ICFDDH,ARCATA,HUMBOLDT,6,40.87071,-124.0813305,95521,ACTIVE
10000088,BUTLER VALLEY #2,ICFDDH,EUREKA,HUMBOLDT,6,40.770018,-124.163289,95503,ACTIVE
10000096,KAISER FOUNDATION HOSPITAL HOME HEALTH-VALLEJO,HHA,VALLEJO,SOLANO,0,38.12706799,-122.247876,94589,ACTIVE
10000148,SUTTER CARE AT HOME,HHA,LAKEPORT,LAKE,0,39.10515847,-122.9081615,95453,ACTIVE
10000149,PROVIDENCE HOME HEALTH NAPA VALLEY,HHA,NAPA,NAPA,0,38.32407,-122.29515,94558,ACTIVE
10000150,ADVENTIST HEALTH HOME CARE SERVICES,HHA,LOWER LAKE,LAKE,0,38.915208,-122.612787,95457,ACTIVE
10000158,PROVIDENCE HOME HEALTH HUMBOLDT,HHA,EUREKA,HUMBOLDT,0,40.788018,-124.1392815,95501,ACTIVE
10000160,MILESTONES OF DEVELOPMENT #1,ICFDDH,VALLEJO,SOLANO,6,38.116035,-122.204907,94591,ACTIVE
10000162,MILESTONES OF DEVELOPMENT #3,ICFDDH,VALLEJO,SOLANO,6,38.114316,-122.202738,94591,ACTIVE
10000163,MILESTONES OF DEVELOPMENT #4,ICFDDH,VALLEJO,SOLANO,6,38.114199,-122.2104915,94591,ACTIVE
